, Dados Cadastrais ,,,,,,,,,,, Múltiplos ,,,,,, Dividendos ,,,, Estrutura de Capital ,,,,,,, EBITDA ,,,,,,, Fluxo de Caixa ,,, Indicadores de Resultado ,,,,, Liquidez das Ações na Última Semana ,,
246.00, Merc Brasil , PN , BMEB4 ," R$1,168,485 ",-,-, Crescimento , Nível 1 , Financeiro , Intermediários financeiros , Bancos ,6.10,16.3%,-,0.90,-,10.51, R$0.57 , R$1.71 ,5.5%,34%," R$1,202,699 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$399,100 ",-,N/D,16%,,1%,0.43,30/06/2022, R$280 , 86 , Liquidez Baixa 
247.00, Clearsale , ON , CLSA3 ," R$1,144,470 ",-,-," Alerta, Prejuízo ", Novo Mercado , Financeiro , Serviços financeiros diversos , Serviços financeiros diversos ,-8.40,-11.9%,-3.90,1.60,2.40,6.09, R$-   ,-R$0.73 ,0.0%,0%," R$734,833 "," R$77,417 "," R$550,770 ","-R$473,353 ",0.11,-, Empresa com Mais Caixa que Dívida , - , - , - ," R$23,069 "," R$30,757 ","-R$170,710 ",-,"-R$55,805 ",-251%,649%,-347%,-48%,-14%,-,30/06/2022," R$18,147 "," 12,840 ", Liquidez Alta 
248.00, Quero-Quero , ON , LJQQ3 ," R$1,078,790 ",-,-, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Comércio , Produtos diversos ,41.50,2.4%,5.60,2.10,0.50,5.76, R$0.12 , R$0.14 ,2.1%,89%," R$525,828 "," R$364,019 "," R$142,400 "," R$221,619 ",0.69,0.69, Baixo Endividamento , - , - ," R$82,615 "," R$88,453 "," R$162,460 "," R$220,728 ",-,"-R$133,637 ",-58%,83%,5%,6%,1%,-,30/06/2022," R$93,412 "," 33,811 ", Liquidez Alta 
249.00, Cea Modas , ON , CEAB3 ," R$1,001,680 ",-,-, Crescimento , Novo Mercado , Consumo cíclico , Comércio , Tecidos vestuário e calçados ,4.10,24.7%,3.00,0.40,0.20,3.26, R$-   , R$0.80 ,0.0%,0%," R$2,844,628 "," R$2,340,578 "," R$1,113,575 "," R$1,227,003 ",0.82,1.63, Baixo Endividamento , - ," R$195,130 "," R$494,597 "," R$561,445 "," R$1,561,802 "," R$748,075 ",-," R$556,308 ",118%,100%,10%,1%,3%,1.82,30/06/2022," R$51,704 "," 23,826 ", Liquidez Alta 
250.00, Meliuz , ON , CASH3 ," R$977,355 ",0.0%,0.0%," Alerta, Prejuízo ", Novo Mercado , Tecnologia da informação , Programas e serviços , Programas e serviços ,-13.10,-7.6%,-,1.20,2.80,1.13, R$-   ,-R$0.09 ,0.0%,0%," R$789,982 "," R$1,418 "," R$404,943 ","-R$403,525 ",0.00,-, Empresa com Mais Caixa que Dívida , - , - ,"-R$16,746 ","-R$7,224 "," R$10,582 ", - ,-,"-R$34,209 ",-61%,N/D,-18%,-63%,-5%,-,30/06/2022," R$142,027 "," 43,420 ", Liquidez Alta 
251.00, Desktopsigma , ON , DESK3 ," R$972,928 ",-,-, Crescimento , Novo Mercado , Comunicações , Telecomunicações , Telecomunicações ,29.30,3.4%,7.00,1.10,1.80,11.16, R$0.01 , R$0.38 ,0.1%,4%," R$896,828 "," R$884,460 "," R$160,301 "," R$724,159 ",0.99,2.27, Baixo Endividamento , - , - , - , - , - ," R$209,114 ",-," R$729,749 ",210%,1946%,22%,5%,2%,-,30/06/2022," R$5,686 "," 2,451 ", Liquidez Moderada 
252.00, Ser Educa , ON , SEER3 ," R$936,795 ",-,-," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Diversos , Serviços educacionais ,-15.50,-6.5%,4.50,0.70,0.60,7.29, R$0.12 ,-R$0.47 ,1.7%,-26%," R$1,403,267 "," R$560,468 "," R$88,344 "," R$472,124 ",0.40,1.41, Baixo Endividamento ," R$274,198 "," R$357,272 "," R$321,125 "," R$312,033 "," R$391,176 "," R$301,071 ",2%," R$186,892 ",220%,209%,-4%,3%,-2%,1.26,30/06/2022," R$12,499 "," 7,470 ", Liquidez Alta 
253.00, Cristal , PNA , CRPG5 ," R$933,199 ",-,-, Crescimento , Tradicional , Materiais básicos , Químicos , Químicos diversos ,-,-,-,-,-,26.25, R$1.21 , R$5.03 ,4.6%,24%," R$883,619 "," R$3,451 "," R$129,210 ","-R$125,759 ",0.00,-0.86, Empresa com Mais Caixa que Dívida ," R$40,191 "," R$76,810 "," R$112,944 "," R$172,070 "," R$133,484 "," R$158,453 ",32%," R$130,219 ",36%,144%,17%,10%,13%,0.86,30/06/2022, R$702 , 125 , Liquidez Baixa 
254.00, Dommo , ON , DMMO3 ," R$912,336 ",-,-," Alerta, Prejuízo ", Tradicional , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Exploração refino e distribuição ,-34.50,-2.9%,17.00,-1.80,2.60,1.79, R$-   ,-R$0.05 ,0.0%,0%,"-R$503,962 ", R$82 ," R$77,487 ","-R$77,405 ",0.00,-1.58, Patrimônio Líquido Negativo ,"-R$267,748 ","-R$215,258 ","-R$798,308 ","-R$478,578 ","-R$22,719 "," R$49,047 ",-171%," R$49,324 ",1%,3%,,12%,-7%,1.52,30/06/2022," R$43,871 "," 13,022 ", Liquidez Alta 
255.00, Alfa Invest , PN , BRIV4 ," R$895,524 ",-,-, Crescimento e Dividendos , Tradicional , Financeiro , Intermediários financeiros , Bancos ,10.30,9.8%,-,0.50,-,9.53, R$0.61 , R$0.93 ,6.4%,66%," R$1,643,563 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$6,362,060 ",-,N/D,5%,,0%,0.52,30/06/2022, R$568 , 112 , Liquidez Baixa 
256.00, TC , ON , TRAD3 ," R$883,719 ",-,-," Alerta, Prejuízo ", Novo Mercado , Tecnologia da informação , Programas e serviços , Programas e serviços ,-41.00,-2.4%,-14.70,1.50,8.50,3.16, R$0.00 ,-R$0.08 ,0.0%,0%," R$589,711 "," R$6,475 "," R$201,443 ","-R$194,968 ",0.01,-, Empresa com Mais Caixa que Dívida , - , - , - , - , - ,"-R$44,312 ",-,"-R$49,366 ",-319%,1096%,-44%,-11%,-3%,-,30/06/2022," R$20,416 "," 7,554 ", Liquidez Alta 
257.00, Ceb , PNA , CEBR5 ," R$876,184 ",-,-, Crescimento e Dividendos , Tradicional , Utilidade pública , Energia elétrica , Energia elétrica ,4.20,24.0%,-,0.90,1.90,11.04, R$3.54 , R$2.65 ,32.1%,134%," R$928,570 ", R$-   ," R$504,128 ","-R$504,128 ",0.00,-, Empresa com Mais Caixa que Dívida ," R$257,579 "," R$136,673 ", - , - , - , - ,-," R$244,334 ",-,N/D,13%,23%,20%,1.03,30/06/2022, R$309 , 39 , Liquidez Baixa 
258.00, Ceb , PNB , CEBR6 ," R$876,184 ",-,-, Crescimento e Dividendos , Tradicional , Utilidade pública , Energia elétrica , Energia elétrica ,4.20,24.0%,-,0.90,1.90,11.05, R$3.90 , R$2.65 ,35.3%,147%," R$928,570 ", R$-   ," R$504,128 ","-R$504,128 ",0.00,-, Empresa com Mais Caixa que Dívida ," R$257,579 "," R$136,673 ", - , - , - , - ,-," R$244,334 ",-,N/D,13%,23%,20%,0.68,30/06/2022, R$652 , 178 , Liquidez Baixa 
259.00, Trisul , ON , TRIS3 ," R$872,321 ",-,-, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,10.90,9.2%,8.80,0.70,1.20,4.79, R$0.22 , R$0.44 ,4.6%,50%," R$1,240,274 "," R$657,011 "," R$325,515 "," R$331,496 ",0.53,2.33, Baixo Endividamento ," R$42,325 "," R$18,777 "," R$61,134 "," R$102,746 "," R$181,712 "," R$142,339 ",27%,"-R$113,646 ",-13%,70%,7%,5%,4%,1.66,30/06/2022," R$16,138 "," 9,642 ", Liquidez Alta 
260.00, Valid , ON , VLID3 ," R$855,480 ",-,-, Crescimento , Novo Mercado , Bens industriais , Serviços diversos , Serviços diversos ,14.20,7.1%,4.00,0.70,0.40,10.61, R$0.29 , R$0.75 ,2.7%,39%," R$1,204,691 "," R$1,075,687 "," R$234,243 "," R$841,444 ",0.89,1.88, Baixo Endividamento ," R$281,283 "," R$225,343 "," R$206,652 "," R$269,750 "," R$265,719 "," R$424,219 ",9%," R$448,228 ",27%,74%,5%,8%,2%,1.28,30/06/2022," R$5,775 "," 3,557 ", Liquidez Moderada 
261.00, Dexxos Par , ON , DEXP3 ," R$846,937 ",-,-, Crescimento , Nível 1 , Materiais básicos , Químicos , Petroquímicos ,5.00,20.2%,4.00,1.60,0.40,9.16, R$0.38 , R$1.85 ,4.2%,21%," R$526,608 "," R$335,025 "," R$119,396 "," R$215,629 ",0.64,0.74, Baixo Endividamento ," R$14,194 "," R$116,613 "," R$118,874 "," R$65,215 "," R$68,841 "," R$290,076 ",83%," R$38,994 ",7%,11%,44%,18%,16%,1.50,30/06/2022," R$26,882 "," 10,473 ", Liquidez Alta 
262.00, Dexxos Par , PN , DEXP4 ," R$846,937 ",-,-, Crescimento , Nível 1 , Materiais básicos , Químicos , Petroquímicos ,3.90,25.9%,4.00,1.30,0.30,7.15, R$0.41 , R$1.85 ,5.7%,22%," R$526,608 "," R$335,025 "," R$119,396 "," R$215,629 ",0.64,0.74, Baixo Endividamento ," R$14,194 "," R$116,613 "," R$118,874 "," R$65,215 "," R$68,841 "," R$290,076 ",83%," R$38,994 ",7%,11%,44%,18%,16%,-,30/06/2022," R$1,173 ", 285 , Liquidez Moderada 
263.00, Melnick , ON , MELK3 ," R$839,065 ",-,-, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,7.80,12.8%,7.30,0.70,0.90,4.15, R$0.43 , R$0.53 ,10.4%,81%," R$1,182,352 "," R$88,508 "," R$8,524 "," R$79,984 ",0.07,-3.56, Baixo Endividamento , - , - ," R$80,001 "," R$64,251 "," R$58,844 "," R$84,093 ",-,"-R$155,154 ",-11%,357%,11%,5%,6%,-,30/06/2022," R$5,435 "," 3,298 ", Liquidez Moderada 
264.00, Sequoia Log , ON , SEQL3 ," R$836,012 ",-,-," Alerta, Prejuízo ", Novo Mercado , Bens industriais , Serviços diversos , Serviços diversos ,-14.40,-7.0%,6.20,1.50,0.50,5.96, R$-   ,-R$0.41 ,0.0%,0%," R$548,359 "," R$688,017 "," R$132,400 "," R$555,617 ",1.25,2.48, Baixo Endividamento , - , - ," R$38,156 "," R$38,851 "," R$64,860 "," R$223,943 ",-," R$65,912 ",195%,89%,-10%,4%,-3%,-,30/06/2022," R$74,428 "," 19,652 ", Liquidez Alta 
265.00, Eucatex , PN , EUCA4 ," R$813,266 ",-,-," Alerta, Baixo Crescimento ", Nível 1 , Materiais básicos , Madeira e papel , Madeira ,2.00,49.9%,2.20,0.30,0.30,7.16, R$0.28 , R$3.57 ,4.0%,8%," R$2,014,712 "," R$553,334 "," R$17,663 "," R$535,671 ",0.27,0.81, Baixo Endividamento ," R$231,335 "," R$195,670 "," R$211,845 "," R$233,981 "," R$266,607 "," R$596,278 ",21%," R$418,797 ",110%,321%,19%,10%,9%,1.05,30/06/2022," R$2,466 ", 840 , Liquidez Moderada 
266.00, Syn Prop Tec , ON , SYNE3 ," R$793,749 ",-,-, Crescimento e Dividendos , Novo Mercado , Financeiro , Exploração de imóveis , Exploração de imóveis ,0.60,155.3%,1.50,0.50,0.30,5.20, R$8.71 , R$8.07 ,167.6%,108%," R$1,543,342 "," R$1,247,204 "," R$259,697 "," R$987,507 ",0.81,0.36, Baixo Endividamento ," R$285,920 "," R$319,699 "," R$523,105 "," R$256,920 "," R$323,962 "," R$1,663,619 ",42%," R$2,178,367 ",3%,97%,45%,29%,30%,1.18,30/06/2022," R$6,831 "," 5,795 ", Liquidez Moderada 
267.00, Planoeplano , ON , PLPL3 ," R$793,024 ",-,-, Crescimento , Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,7.40,13.4%,6.20,2.30,0.60,4.00, R$0.16 , R$0.54 ,4.0%,30%," R$348,628 "," R$463,706 "," R$214,438 "," R$249,268 ",1.33,1.10, Baixo Endividamento , - , - , - , - ," R$130,650 "," R$155,055 ",-," R$55,992 ",44%,118%,38%,9%,8%,-,30/06/2022," R$14,933 "," 6,246 ", Liquidez Alta 
268.00, Eternit , ON , ETER3 ," R$784,441 ",-,-, Crescimento , Novo Mercado , Bens industriais , Construção e engenharia , Produtos para construção ,3.40,29.8%,2.20,1.30,0.70,12.70, R$0.93 , R$3.79 ,7.4%,25%," R$627,408 "," R$35,420 "," R$149,220 ","-R$113,800 ",0.06,-0.36, Empresa com Mais Caixa que Dívida ," R$131,544 "," R$31,338 ","-R$192,897 ","-R$92,263 "," R$55,915 "," R$311,897 ",19%," R$59,863 ",108%,376%,53%,27%,22%,2.02,30/06/2022," R$35,867 "," 11,491 ", Liquidez Alta 
269.00, Allied , ON , ALLD3 ," R$779,328 ",-,-, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Comércio , Eletrodomésticos ,5.70,17.5%,3.50,0.50,0.10,8.36, R$0.87 , R$1.46 ,10.4%,59%," R$1,505,197 "," R$635,666 "," R$303,754 "," R$331,912 ",0.42,1.05, Baixo Endividamento , - , - ," R$95,192 "," R$163,349 "," R$222,729 "," R$317,246 ",-," R$1,308,133 ",2%,29%,9%,7%,3%,-,30/06/2022," R$1,926 ", 724 , Liquidez Moderada 
270.00, Fer Heringer , ON , FHER3 ," R$757,772 ",-,-," Alerta, Baixo Crescimento ", Novo Mercado , Materiais básicos , Químicos , Fertilizantes e defensivos ,1.30,74.4%,1.90,1.40,0.10,14.07, R$-   , R$10.47 ,0.0%,0%," R$552,787 "," R$741,544 "," R$22,046 "," R$719,498 ",1.34,0.93, Baixo Endividamento ," R$198,162 "," R$249,578 "," R$91,897 ","-R$150,418 ","-R$122,510 "," R$769,752 ",31%,"-R$551,532 ",-13%,253%,,20%,17%,1.32,30/06/2022," R$9,772 "," 3,112 ", Liquidez Moderada 
271.00, Lojas Marisa , ON , AMAR3 ," R$712,704 ",-,-," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Comércio , Tecidos vestuário e calçados ,-10.00,-10.0%,7.50,0.70,0.20,2.08, R$-   ,-R$0.21 ,0.0%,0%," R$1,069,354 "," R$1,737,642 "," R$255,968 "," R$1,481,674 ",1.62,5.06, Dívida Alta ," R$269,538 "," R$180,735 "," R$265,589 "," R$417,904 "," R$394,922 "," R$292,615 ",2%," R$99,270 ",95%,34%,-7%,0%,-2%,2.42,30/06/2022," R$63,992 "," 17,727 ", Liquidez Alta 
272.00, Grazziotin , PN , CGRA4 ," R$678,259 ",-,-, Crescimento , Tradicional , Consumo cíclico , Comércio , Tecidos vestuário e calçados ,4.00,25.2%,2.80,0.80,1.00,34.79, R$3.47 , R$8.75 ,10.0%,40%," R$798,591 "," R$26,539 "," R$112,134 ","-R$85,595 ",0.03,-0.41, Empresa com Mais Caixa que Dívida ," R$49,501 "," R$52,777 "," R$61,228 "," R$59,839 "," R$112,509 "," R$210,916 ",34%," R$86,683 ",72%,143%,25%,13%,14%,0.54,30/06/2022," R$1,069 ", 156 , Liquidez Moderada 
273.00, Imc S/A , ON , MEAL3 ," R$676,500 ",-,-," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Hotéis e restaurantes , Restaurante e similares ,-7.40,-13.5%,7.40,0.60,0.30,2.37, R$-   ,-R$0.32 ,0.0%,0%," R$1,058,590 "," R$641,902 "," R$338,661 "," R$303,241 ",0.61,2.28, Baixo Endividamento ," R$37,063 "," R$44,198 "," R$108,533 "," R$102,804 "," R$128,423 "," R$132,907 ",29%," R$113,479 ",171%,175%,-8%,1%,-3%,2.32,30/06/2022," R$21,292 "," 9,672 ", Liquidez Alta 
274.00, Tenda , ON , TEND3 ," R$628,199 ",-,-," Alerta, Prejuízo ", Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,-1.40,-70.9%,-5.20,0.60,0.30,6.50, R$-   ,-R$4.61 ,0.0%,0%," R$1,041,291 "," R$1,485,834 "," R$97,680 "," R$1,388,154 ",1.43,-, Baixo Endividamento ," R$45,794 "," R$103,733 "," R$141,856 "," R$243,490 "," R$322,381 ","-R$248,704 ",-240%,"-R$170,530 ",-43%,143%,-30%,-8%,-10%,1.31,30/06/2022," R$51,743 "," 14,727 ", Liquidez Alta 
275.00, Moura Dubeux , ON , MDNE3 ," R$611,536 ",-,-," Alerta, Baixo Crescimento ", Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,6.50,15.4%,5.90,0.50,0.90,7.33, R$-   , R$1.13 ,0.0%,0%," R$1,130,658 "," R$76,424 "," R$149,042 ","-R$72,618 ",0.07,-1.22, Empresa com Mais Caixa que Dívida ," R$156,570 "," R$3,619 "," R$107,231 ","-R$45,243 "," R$93,149 "," R$85,850 ",-11%," R$91,717 ",14%,275%,9%,3%,4%,-,30/06/2022," R$5,940 "," 2,819 ", Liquidez Moderada 
276.00, Csu Digital , ON , CSUD3 ," R$590,445 ",-,-, Crescimento e Dividendos , Novo Mercado , Financeiro , Serviços financeiros diversos , Serviços financeiros diversos ,9.00,11.2%,3.90,1.70,1.10,14.35, R$0.87 , R$1.60 ,6.1%,55%," R$350,697 "," R$97,409 "," R$76,328 "," R$21,081 ",0.28,0.13, Baixo Endividamento ," R$69,841 "," R$90,902 "," R$100,305 "," R$81,483 "," R$103,616 "," R$157,452 ",18%," R$122,335 ",45%,90%,21%,16%,11%,1.20,30/06/2022," R$5,443 "," 2,680 ", Liquidez Moderada 
277.00, Renova , PN , RNEW4 ," R$587,139 ",-,-," Alerta, Baixo Crescimento ", Nível 2 , Utilidade pública , Energia elétrica , Energia elétrica ,1.60,62.1%,2.90,-0.40,2.00,2.37, R$-   , R$1.47 ,0.0%,0%,"-R$611,223 "," R$983,423 "," R$102,432 "," R$880,991 ",-1.61,1.76, Patrimônio Líquido Negativo ," R$558,685 ","-R$656,522 ","-R$776,113 ","-R$522,727 ","-R$546,429 "," R$498,778 ",-2%,"-R$379,260 ",196%,-4650%,,20%,8%,0.75,30/06/2022, R$667 ," 1,028 ", Liquidez Baixa 
278.00, Hbr Realty , ON , HBRE3 ," R$583,018 ",-,-, Crescimento , Novo Mercado , Financeiro , Exploração de imóveis , Exploração de imóveis ,3.40,29.3%,5.40,0.30,4.90,5.65, R$-   , R$1.65 ,0.0%,0%," R$1,881,228 "," R$1,090,680 "," R$46,264 "," R$1,044,416 ",0.58,2.16, Baixo Endividamento , - , - ," R$141,568 "," R$244,499 "," R$325,569 "," R$331,454 ",-," R$232,708 ",262%,88470%,10%,7%,5%,-,30/06/2022, R$664 , 190 , Liquidez Baixa 
279.00, Mitre Realty , ON , MTRE3 ," R$579,646 ",-,-, Crescimento e Dividendos , Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,20.70,4.8%,12.20,0.60,0.90,5.48, R$0.33 , R$0.26 ,6.0%,124%," R$984,994 "," R$281,066 "," R$228,892 "," R$52,174 ",0.29,1.00, Baixo Endividamento , - ," R$3,291 ",-R$213 ," R$23,009 "," R$43,729 "," R$52,436 ",-,"-R$441,212 ",-3%,189%,3%,2%,2%,-,30/06/2022," R$6,404 "," 5,609 ", Liquidez Moderada 
280.00, Alper S.A. , ON , APER3 ," R$573,744 ",-,-, Crescimento , Novo Mercado , Financeiro , Previdência e seguros , Corretoras de seguros e resseguros ,74.60,1.3%,-,1.00,-,29.33, R$0.07 , R$0.39 ,0.2%,18%," R$434,998 ", - , - , - ,N/D,-, Dívida Alta , - , - , - , - , - , - ,-," R$10,686 ",-,N/D,2%,,1%,1.41,30/06/2022," R$1,655 ", 159 , Liquidez Moderada 
281.00, Profarma , ON , PFRM3 ," R$529,680 ",-,-, Crescimento , Novo Mercado , Saúde , Comércio e distribuição , Medicamentos e outros produtos ,5.50,18.0%,7.10,0.50,0.10,4.32, R$0.27 , R$0.78 ,6.3%,35%," R$1,165,641 "," R$1,036,650 "," R$196,552 "," R$840,098 ",0.89,3.49, Baixo Endividamento ," R$74,650 "," R$95,666 "," R$20,204 "," R$88,646 "," R$96,324 "," R$240,515 ",26%,"-R$49,748 ",-15%,18%,7%,5%,2%,0.98,30/06/2022," R$3,798 "," 3,723 ", Liquidez Moderada 
282.00, Oceanpact , ON , OPCT3 ," R$520,806 ",-,-," Alerta, Prejuízo ", Novo Mercado , Petróleo gás e biocombustíveis , Petróleo gás e biocombustíveis , Equipamentos e serviços ,-3.90,-25.8%,7.20,0.70,0.50,2.63, R$-   ,-R$0.68 ,0.0%,0%," R$763,061 "," R$1,192,691 "," R$231,382 "," R$961,309 ",1.56,4.70, Dívida Alta , - , - ," R$47,439 "," R$60,657 "," R$103,611 "," R$204,668 ",-," R$53,184 ",1165%,306%,-15%,0%,-6%,-,30/06/2022," R$2,960 "," 2,869 ", Liquidez Moderada 
283.00, Biomm , ON , BIOM3 ," R$507,346 ",-,-," Alerta, Prejuízo ", Bovespa Mais , Saúde , Medicamentos e outros produtos , Medicamentos e outros produtos ,-5.30,-18.8%,-8.80,3.50,4.60,6.90, R$-   ,-R$1.30 ,0.0%,0%," R$146,482 "," R$172,425 "," R$49,824 "," R$122,601 ",1.18,-, Baixo Endividamento ,"-R$2,652 ","-R$32,235 ","-R$34,926 ","-R$34,934 ","-R$47,994 ","-R$68,357 ",92%,"-R$74,294 ",-6%,35%,-58%,-20%,-24%,0.78,30/06/2022, R$502 , 426 , Liquidez Baixa 
284.00, Espacolaser , ON , ESPA3 ," R$493,356 ",-,-," Alerta, Baixo Crescimento ", Novo Mercado , Consumo cíclico , Comércio , Produtos diversos ,29.20,3.4%,6.90,0.70,0.70,2.02, R$-   , R$0.07 ,0.0%,0%," R$701,805 "," R$945,451 "," R$157,983 "," R$787,468 ",1.35,4.20, Baixo Endividamento , - , - ," R$64,215 "," R$104,684 "," R$217,771 "," R$187,286 ",-," R$26,062 ",1270%,457%,2%,5%,1%,-,30/06/2022," R$40,503 "," 12,514 ", Liquidez Alta 
285.00, Estapar , ON , ALPK3 ," R$447,840 ",-,-," Alerta, Prejuízo ", Novo Mercado , Bens industriais , Serviços diversos , Serviços diversos ,-2.40,-41.7%,-,0.90,0.40,2.09, R$-   ,-R$0.87 ,0.0%,0%," R$494,604 "," R$1,343,804 "," R$52,904 "," R$1,290,900 ",2.72,-, Dívida Alta , - , - , - , - , - , - ,-," R$328,876 ",-,N/D,-32%,1%,-7%,-,30/06/2022, R$438 , 654 , Liquidez Baixa 
286.00, Riosulense , PN , RSUL4 ," R$439,465 ",-,-, Crescimento , Tradicional , Bens industriais , Material de transporte , Material rodoviário ,7.10,14.1%,4.60,4.00,1.20,74.00, R$1.99 , R$10.46 ,2.7%,19%," R$108,096 "," R$12,296 "," R$4,827 "," R$7,469 ",0.11,-0.12, Baixo Endividamento ," R$5,566 "," R$16,103 "," R$25,468 "," R$31,854 "," R$35,540 "," R$93,564 ",76%," R$32,318 ",66%,359%,121%,28%,20%,0.29,30/06/2022, R$535 , 33 , Liquidez Baixa 
287.00, Trevisa , PN , LUXM4 ," R$420,772 ",-,-, Crescimento , Tradicional , Bens industriais , Transporte , Transporte hidroviário ,37.80,2.6%,10.90,4.00,3.00,80.98, R$0.70 , R$2.14 ,0.9%,33%," R$104,479 "," R$13,075 "," R$8,792 "," R$4,283 ",0.13,0.11, Baixo Endividamento ," R$24,966 "," R$30,028 "," R$28,803 "," R$31,684 "," R$34,866 "," R$38,840 ",9%," R$38,062 ",109%,252%,12%,12%,7%,0.07,30/06/2022, R$348 , 40 , Liquidez Baixa 
288.00, Helbor , ON , HBOR3 ," R$417,986 ",-,-," Alerta, Baixo Crescimento ", Novo Mercado , Consumo cíclico , Construção civil , Incorporações ,6.40,15.7%,16.00,0.30,0.50,3.15, R$0.18 , R$0.50 ,5.7%,37%," R$1,351,872 "," R$1,470,949 "," R$130,058 "," R$1,340,891 ",1.09,8.51, Baixo Endividamento ," R$115,796 ","-R$61,901 ","-R$244,042 ","-R$305,448 "," R$22,182 "," R$136,363 ",3%,"-R$78,809 ",-249%,987%,6%,2%,2%,1.69,30/06/2022," R$11,593 "," 9,004 ", Liquidez Alta 
289.00, Lopes Brasil , ON , LPSB3 ," R$415,983 ",-,-," Alerta, Baixo Crescimento ", Novo Mercado , Financeiro , Exploração de imóveis , Intermediação imobiliária ,8.10,12.3%,8.30,2.10,2.10,3.03, R$0.08 , R$0.37 ,2.5%,20%," R$201,765 ", R$-   ," R$31,132 ","-R$31,132 ",0.00,-1.41, Empresa com Mais Caixa que Dívida ,"-R$332,905 ","-R$13,569 ","-R$57,546 ","-R$16,222 "," R$24,870 "," R$42,063 ",-166%," R$13,319 ",211%,189%,40%,6%,18%,1.66,30/06/2022," R$2,380 "," 1,694 ", Liquidez Moderada 
290.00, Wdc Networks , ON , LVTC3 ," R$409,963 ",-,-, Crescimento , Novo Mercado , Tecnologia da informação , Programas e serviços , Programas e serviços ,9.40,10.7%,0.70,0.60,0.40,6.34, R$0.17 , R$0.68 ,2.7%,26%," R$639,500 ", R$-   ," R$229,055 ","-R$229,055 ",0.00,-0.83, Empresa com Mais Caixa que Dívida , - , - , - , - , - ," R$277,282 ",-,"-R$28,433 ",-656%,120%,26%,8%,3%,-,30/06/2022," R$4,309 "," 3,476 ", Liquidez Moderada 
291.00, G2d Invest , A , G2DI33 ," R$403,212 ",-,-, Crescimento , BDR nível 3 , Financeiro , Serviços financeiros diversos , Gestão de recursos e investimentos ,-,-,-,-,-,3.94, R$-   , R$1.02 ,0.0%,0%," R$746,964 "," R$105,085 "," R$59,697 "," R$45,388 ",0.14,0.41, Baixo Endividamento , - , - , - , R$880 ," R$35,103 "," R$110,275 ",-,"-R$138,920 ",-11%,N/D,16%,9%,12%,-,30/06/2022," R$1,853 "," 14,234 ", Liquidez Moderada 
292.00, Neogrid , ON , NGRD3 ," R$388,490 ",-,-, Crescimento e Dividendos , Novo Mercado , Tecnologia da informação , Programas e serviços , Programas e serviços ,256.50,0.4%,6.60,0.90,1.60,1.70, R$0.01 , R$0.01 ,0.9%,224%," R$448,297 "," R$81,397 "," R$101,154 ","-R$19,757 ",0.18,-5.87, Empresa com Mais Caixa que Dívida , - , - ," R$17,579 "," R$28,905 "," R$44,929 "," R$31,104 ",-," R$25,825 ",34%,36%,0%,1%,0%,-,30/06/2022," R$5,431 "," 4,255 ", Liquidez Moderada 
293.00, Metisa , PN , MTSA4 ," R$385,869 ",-,-, Crescimento , Tradicional , Bens industriais , Máquinas e equipamentos , Máq. e equip. construção e agrícolas ,5.60,17.7%,3.40,1.10,0.50,43.90, R$2.42 , R$7.78 ,5.5%,31%," R$350,264 "," R$79,721 "," R$87,828 ","-R$8,107 ",0.23,-0.14, Empresa com Mais Caixa que Dívida ," R$18,798 "," R$10,568 "," R$15,781 "," R$24,684 "," R$28,060 "," R$109,386 ",42%," R$31,556 ",63%,207%,23%,19%,13%,0.60,30/06/2022," R$1,600 ", 38 , Liquidez Moderada 
294.00, Pettenati , PN , PTNT4 ," R$379,094 ",-,-, Crescimento , Tradicional , Consumo cíclico , Tecidos vestuário e calçados , Fios e tecidos ,4.40,22.9%,5.00,0.90,0.30,6.14, R$0.20 , R$1.41 ,3.3%,14%," R$336,080 "," R$212,107 "," R$61,538 "," R$150,569 ",0.63,1.24, Baixo Endividamento ," R$58,376 "," R$62,195 "," R$73,782 "," R$59,981 "," R$74,000 "," R$121,058 ",16%," R$16,857 ",344%,211%,24%,10%,10%,0.78,30/06/2022," R$10,913 ", 149 , Liquidez Alta 
